56946		-1.8062189e-12	2.6135619e-12
56947		1.9748645e-11	5.4643869e-12
56947.802	2.8294217e-11	3.3026134e-12
56950		-1.6175403e-12	1.2274591e-12
56951		-1.6487037e-13	1.2459901e-12
56952		7.8381611e-14	1.4523295e-12
56954		1.5785543e-12	1.5769947e-12
56956		4.6189272e-12	1.969953e-12
56958		2.7254168e-12	1.8138813e-12
56960		-2.0623909e-12	1.2219067e-12
56962		1.8948633e-12	1.654056e-12
56973		1.9612099e-12	2.5319111e-12
56974		1.3434863e-11	3.4184828e-12
56975		2.4345775e-11	2.5018318e-12
56976		1.2777625e-11	2.759505e-12
56977		3.6713576e-12	1.8060577e-12
56979		-3.2471844e-13	1.3858399e-12
56981		3.6529346e-12	1.9206407e-12
56982		3.7699138e-12	3.0807833e-12
56983		1.4225178e-12	2.0049003e-12
56985		3.3209292e-12	1.890207e-12
56987		3.982823e-13	1.3417411e-12
56989		3.1553689e-12	1.7735034e-12
57001		3.6738055e-12	1.7166398e-12
57002		7.628368e-12	1.5554455e-12
57003		7.7023482e-12	1.6296645e-12
